points,turnovers,rebounds,percentage,std_trn_perc,doncic_min,std_rebs_doncic
111,15,38,0.503597122,0.235816163,33,1.064118417
123,10,39,0.516129032,-0.227507496,39,0.060000786
112,16,56,0.436708861,-0.953076679,37,-1.884427671
122,8,40,0.537414966,-0.842349877,40,-0.028992917
119,10,45,0.49659864,-0.073751317,43,0.657769811
118,9,44,0.496732026,-0.117141855,36,-0.492431824
117,21,42,0.538461539,2.107937423,42,0.095262442
131,15,35,0.633093525,2.101659473,43,-1.088521722
115,10,43,0.444444444,0.336841026,46,0.575492613
148,13,37,0.638157895,0.829497744,45,-1.16576154
109,14,33,0.453333333,-0.337353608,39,0.221196928
110,10,48,0.443708609,0.342634008,40,0.159069248
110,15,43,0.456375839,-0.444569653,36,-0.314444418
103,12,33,0.492647059,0.005631944,36,1.465429644
115,11,44,0.464516129,0.077602625,39,-0.074329332
90,16,41,0.370629371,-2.19964514,34,0.065038165
132,9,43,0.553333333,-0.814972896,38,-0.136457011
110,10,37,0.470198676,0.134086673,37,0.540230958
128,11,38,0.525316456,-0.130117932,44,-0.72750953
111,6,36,0.447204969,1.028561219,44,-1.177515425
104,11,43,0.422818792,0.220058999,36,-0.314444418
131,12,47,0.503030303,0.016428291,37,-0.735905163
101,15,34,0.466165414,-0.303516991,39,0.194330904
127,10,36,0.54248366,-0.434988571,43,-0.913892569
120,17,43,0.531034483,1.021545882,44,0.397505207
120,15,47,0.465517241,-0.312856152,46,1.878494757
121,7,38,0.519736842,-0.690475671,38,0.249742078
88,9,37,0.377622378,1.351347376,38,0.326981895
104,4,48,0.407407407,2.762681424,39,-0.181793426
125,12,49,0.4625,-0.025714532,35,-1.773605323
